Countries,Revenue_generated($),Percentage of Loan Applications_Approved,Loan Types,Percentage_of _LoanPortfolio, Percentage_of_Delinquent_Loans,Loan_origination_Cost_in_USD,Credit_Score_Ranges,Loan_Delinquency_Rate(%),Revenue Distribution_by_Region:,Revenue_generated,Region_revenue_generated,Loan_Application_Stage,Number_of_Loans_or_Conversion_Rate,Cost_Efficiency_Ratio,Time Period_Months($)
Darussalam,9594965,73,Jumbo mortgage,9,2.5,350,680,5,Middle East and Africa,21708220,Middle East and Africa,Underwriting,531,61.03,11182120
Luxembourg,9545093,85,Jumbo mortgage,7,2.5,359,319,8,Europe,23373066,Asia-Pacific,Lead,576,86.63,11764700
Ireland,9489583,72,Fixed-rate mortgage,17,0.5,277,778,2,Asia-Pacific,21439133,Middle East and Africa,Lead,850,61.44,11559536
Sweden,9393299,79,Adjustable-rate mortgage,25,1,645,833,4,Americas,30486049,Asia-Pacific,Application,471,82.75,11522119
Iceland,9432561,77,Jumbo mortgage,8,2.5,352,434,5,Middle East and Africa,31972749,Americas,Funding,811,78.68,9744135
United Arab Emirates,9159596,85,Adjustable-rate mortgage,20,4,536,540,6,Americas,18547932,Europe,Application,317,86.19,9586870
Macao SAR,9121742,84,Home Equity Line of Credit Construction loan,40,1.5,299,418,3,Americas,22000217,Europe,Underwriting,839,79.87,11703755
United Arab Emirates,9531597,89,Adjustable-rate mortgage,14,0.5,588,556,6,Europe,29520429,Middle East and Africa,Underwriting,848,67.5,9633237
Germany,9940663,86,Home Equity Line of Credit Construction loan,26,"",526,349,4,Europe,21763478,Americas,Funding,285,88.31,10827764
Austria,9625702,84,Home Equity Line of Credit Construction loan,28,3,303,552,7,Europe,21993631,Asia-Pacific,Underwriting,284,77.38,10958237
Qatar,9586635,87,Adjustable-rate mortgage,22,2,380,420,4,Americas,29833003,Americas,Underwriting,698,73.56,10211030
Hong Kong,9926191,90,Adjustable-rate mortgage,13,4,410,404,2,Asia-Pacific,11960264,Asia-Pacific,Application,472,68.41,10495706
Brunei,9560575,88,Fixed-rate mortgage,29,1,624,698,1,Asia-Pacific,16718587,Asia-Pacific,Funding,638,74.86,11060338
United Arab Emirates,9333779,73,Adjustable-rate mortgage,21,0.5,356,559,3,Americas,11839894,Asia-Pacific,Underwriting,544,61.74,9712243
Macao SAR,9962579,72,Home Equity Line of Credit Construction loan,7,1,323,304,2,Middle East and Africa,18681883,Middle East and Africa,Funding,123,78.08,9904002
Norway,9880063,78,Home Equity Line of Credit Construction loan,14,1,478,600,10,Asia-Pacific,12420732,Europe,Application,176,63.31,9803138
Austria,9121901,72,Fixed-rate mortgage,16,3.5,517,611,3,Americas,17104590,Europe,Underwriting,804,75.01,9950039
Denmark,9047094,73,Home Equity Line of Credit Construction loan,17,2.5,402,456,9,Americas,34268070,Europe,Underwriting,269,75.01,10096568
Brunei,9319963,90,Adjustable-rate mortgage,40,2.5,343,584,10,Americas,27009359,Europe,Funding,265,87.44,9551895
Ireland,9878975,79,Adjustable-rate mortgage,25,2,367,301,6,Asia-Pacific,17110457,Americas,Underwriting,267,71.9,11051011
Darussalam,9061397,72,Jumbo mortgage,12,4,565,500,6,Asia-Pacific,18286673,Asia-Pacific,Underwriting,375,86.43,10085710
SAR United States,9253376,78,Home Equity Line of Credit Construction loan,36,"",441,533,4,Americas,30172080,Middle East and Africa,Application,455,61.73,10460340
Kuwait,9701763,85,Home Equity Line of Credit Construction loan,32,1.5,478,560,7,Middle East and Africa,31068656,Asia-Pacific,Underwriting,165,82.15,10151940
Qatar,9269960,85,Fixed-rate mortgage,10,1,588,521,1,Americas,12406176,Asia-Pacific,Lead,783,83.13,11832799
Norway,9213367,80,Fixed-rate mortgage,23,2.5,610,364,4,Asia-Pacific,21370555,Middle East and Africa,Lead,719,85.8,11173895
Hong Kong,9705930,70,Jumbo mortgage,16,"",488,559,5,Middle East and Africa,26437146,Americas,Funding,654,71.23,11409219
Brunei,9445390,77,Jumbo mortgage,29,3,518,695,6,Europe,28399016,Americas,Application,310,78.76,9710226
Brunei,9483855,73,Home Equity Line of Credit Construction loan,24,4,532,738,3,Asia-Pacific,19196466,Europe,Funding,979,60.68,10490575
Germany,9597484,79,Fixed-rate mortgage,30,2.5,257,728,3,Middle East and Africa,25783291,Europe,Application,792,73.98,9814797
Kuwait,9174510,74,Fixed-rate mortgage,26,2.5,478,731,8,Asia-Pacific,30139583,Middle East and Africa,Funding,697,87.14,11314246
Hong Kong,9066757,82,Adjustable-rate mortgage,13,1,513,600,4,Asia-Pacific,12368843,Americas,Application,737,67.94,10773813
Netherlands,9058285,80,Adjustable-rate mortgage,9,2,625,411,2,Middle East and Africa,14592858,Middle East and Africa,Lead,838,75.2,9585741
Luxembourg,9701453,79,Jumbo mortgage,16,2.5,629,329,2,Middle East and Africa,13133986,Asia-Pacific,Funding,755,74.86,11473313
Macao SAR,9328582,90,Adjustable-rate mortgage,23,0.5,351,770,9,Americas,14087444,Europe,Lead,142,85.44,9755927
SAR United States,9339914,77,Jumbo mortgage,18,2,560,718,5,Asia-Pacific,34926063,Middle East and Africa,Underwriting,638,77.95,10387970
Iceland,9571627,70,Adjustable-rate mortgage,32,2,307,542,4,Europe,33812772,Asia-Pacific,Lead,107,65.16,10342026
Iceland,9557505,85,Jumbo mortgage,22,4,641,342,9,Europe,31304808,Americas,Application,891,76.0,11859791
Macao SAR,9948636,74,Jumbo mortgage,31,1.5,621,425,7,Europe,16422965,Americas,Underwriting,592,66.37,11516554
SAR United States,9836936,81,Home Equity Line of Credit Construction loan,9,3,370,564,6,Americas,15623070,Americas,Lead,555,65.6,10974578
Iceland,9956704,85,Adjustable-rate mortgage,33,2,478,704,7,Asia-Pacific,25416086,Asia-Pacific,Application,510,68.69,11733985
Brunei,9129553,82,Jumbo mortgage,16,4,397,797,10,Middle East and Africa,15602361,Middle East and Africa,Funding,764,68.43,11199608
Austria,9102765,76,Home Equity Line of Credit Construction loan,25,0.5,413,547,5,Middle East and Africa,23517218,Americas,Application,839,67.25,11865635
Germany,9058580,79,Home Equity Line of Credit Construction loan,10,0.5,288,604,2,Europe,26761610,Asia-Pacific,Application,512,74.62,10741667
Macao SAR,9071290,83,Jumbo mortgage,14,0.5,496,500,4,Asia-Pacific,28710760,Europe,Funding,680,70.37,10264326
Iceland,9133679,80,Fixed-rate mortgage,10,4,578,593,3,Middle East and Africa,24224417,Americas,Application,184,68.8,11328294
Brunei,9718780,82,Adjustable-rate mortgage,40,4,603,414,3,Europe,11897475,Europe,Underwriting,373,79.29,10502630
Ireland,9930574,84,Adjustable-rate mortgage,37,2,380,477,8,Asia-Pacific,28327749,Europe,Funding,596,63.54,11541581
Australia,9647936,82,Fixed-rate mortgage,30,1.5,602,346,4,Americas,22416538,Asia-Pacific,Application,750,79.39,11693716
Hong Kong,9411575,73,Home Equity Line of Credit Construction loan,39,2.5,435,662,3,Asia-Pacific,23303306,Asia-Pacific,Underwriting,758,74.56,10327299
Australia,9278002,72,Fixed-rate mortgage,13,3.5,257,844,10,Europe,14150707,Americas,Application,691,77.78,9812830
Kuwait,9742720,72,Adjustable-rate mortgage,30,1,264,406,2,Asia-Pacific,21022529,Europe,Funding,159,67.12,11607412
Austria,9381913,70,Fixed-rate mortgage,13,0.5,297,463,9,Asia-Pacific,19056925,Europe,Funding,237,62.55,9679136
Singapore,9953405,87,Home Equity Line of Credit Construction loan,6,0.5,505,740,8,Asia-Pacific,24094220,Americas,Application,912,75.37,11557742
Qatar,9919164,85,Jumbo mortgage,32,2,568,830,6,Europe,25720202,Europe,Funding,683,67.59,11149942
Norway,9904897,81,Home Equity Line of Credit Construction loan,31,2.5,533,592,9,Americas,20863870,Europe,Lead,452,83.93,9951739
Luxembourg,9553348,72,Fixed-rate mortgage,26,3,617,669,5,Americas,31054408,Asia-Pacific,Lead,744,63.44,9909893
United Arab Emirates,9030992,88,Jumbo mortgage,11,2,374,783,3,Europe,15682275,Middle East and Africa,Application,919,76.83,9577560
Macao SAR,9140305,90,Jumbo mortgage,40,2.5,266,683,8,Middle East and Africa,26401523,Europe,Lead,856,87.59,9815596
Qatar,9941238,73,Adjustable-rate mortgage,38,4,469,322,9,Asia-Pacific,24364283,Asia-Pacific,Application,464,69.15,11802715
Germany,9641506,89,Adjustable-rate mortgage,13,1,360,421,7,Americas,27457177,Asia-Pacific,Application,555,79.13,11087222
Austria,9901634,87,Home Equity Line of Credit Construction loan,16,1,442,536,9,Europe,17627500,Middle East and Africa,Underwriting,526,77.53,11464608
Norway,9246793,72,Home Equity Line of Credit Construction loan,19,3.5,637,804,9,Europe,28549933,Asia-Pacific,Funding,367,75.71,10433058
SAR United States,9381873,74,Home Equity Line of Credit Construction loan,36,"",274,684,1,Asia-Pacific,21433331,Americas,Underwriting,287,75.33,11083569
SAR United States,9895278,77,Jumbo mortgage,8,1,603,416,1,Americas,15957550,Middle East and Africa,Application,325,76.31,9838581
Macao SAR,9656520,87,Adjustable-rate mortgage,25,3,301,406,3,Asia-Pacific,16729957,Asia-Pacific,Funding,900,67.41,10595359
Iceland,9480584,81,Fixed-rate mortgage,20,2.5,409,650,4,Asia-Pacific,12762732,Middle East and Africa,Lead,840,76.96,10002190
Australia,9628904,71,Jumbo mortgage,13,2,567,602,5,Europe,13061550,Asia-Pacific,Underwriting,547,60.69,10340249
Ireland,9194272,76,Fixed-rate mortgage,37,2,542,791,2,Americas,30897631,Middle East and Africa,Application,885,78.18,9565170
"",9228691,80,Fixed-rate mortgage,13,3.5,301,827,7,Europe,17175067,Middle East and Africa,Lead,280,79.19,11756242
Netherlands,9843054,83,Adjustable-rate mortgage,25,3.5,254,438,6,Middle East and Africa,32542461,Americas,Application,351,60.86,11700010
Ireland,9813899,82,Adjustable-rate mortgage,20,"",332,736,9,Europe,28433338,Europe,Underwriting,716,79.31,9639710
Macao SAR,9674790,90,Adjustable-rate mortgage,32,0.5,504,809,1,Asia-Pacific,13774393,Americas,Funding,451,73.05,11404775
Singapore,9828071,82,Home Equity Line of Credit Construction loan,36,"",362,680,6,Middle East and Africa,34694512,Middle East and Africa,Funding,745,82.77,11749546
Hong Kong,9919490,77,Fixed-rate mortgage,20,3.5,467,791,3,Europe,27649211,Europe,Application,300,72.51,10362320
United Arab Emirates,9856237,88,Jumbo mortgage,15,3.5,492,349,1,Europe,28100630,Asia-Pacific,Lead,368,80.36,10857663
Australia,9940838,75,Home Equity Line of Credit Construction loan,35,3,615,575,3,Americas,26050121,Middle East and Africa,Underwriting,745,76.63,9873466
Macao SAR,9576414,80,Fixed-rate mortgage,36,2,504,423,3,Americas,22194838,Americas,Funding,759,75.06,9887645
Netherlands,9671940,85,Jumbo mortgage,5,3.5,417,360,3,Americas,33014172,Europe,Funding,769,80.54,11874915
Austria,9214639,82,Adjustable-rate mortgage,35,2,638,324,3,Europe,13847507,Asia-Pacific,Funding,415,70.75,10683594
Darussalam,9676030,77,Adjustable-rate mortgage,31,3,326,631,6,Europe,29079512,Asia-Pacific,Lead,899,63.7,10851799
Sweden,9956319,87,Jumbo mortgage,39,4,565,432,5,Americas,28658734,Asia-Pacific,Lead,760,62.42,11877341
Macao SAR,9459832,75,Jumbo mortgage,20,4,285,476,5,Asia-Pacific,26357696,Europe,Application,224,60.79,11649803
Norway,9996872,76,Home Equity Line of Credit Construction loan,37,3,451,464,5,Asia-Pacific,27366423,Middle East and Africa,Lead,139,80.89,11246794
Ireland,9116558,86,Home Equity Line of Credit Construction loan,11,2,464,734,3,Asia-Pacific,31943728,Asia-Pacific,Underwriting,335,85.62,9780583
Ireland,9399619,74,Jumbo mortgage,12,"",537,571,6,Asia-Pacific,31578679,Asia-Pacific,Funding,205,72.2,10339481
Ireland,9393426,84,Adjustable-rate mortgage,22,3.5,611,472,10,Asia-Pacific,24269447,Middle East and Africa,Application,113,86.03,11490807
Brunei,9114595,74,Jumbo mortgage,12,2,423,591,4,Europe,12957304,Europe,Lead,606,76.43,9761286
Switzerland,9843816,84,Adjustable-rate mortgage,11,4,306,773,10,Americas,28913459,Americas,Underwriting,580,65.44,11188156
Netherlands,9097425,81,Adjustable-rate mortgage,17,2,437,486,2,Asia-Pacific,19674225,Americas,Funding,612,74.95,10075441
Macao SAR,9760493,70,Adjustable-rate mortgage,12,3.5,523,307,5,Americas,21795785,Middle East and Africa,Underwriting,831,77.83,11402902
Singapore,9744565,73,Fixed-rate mortgage,25,2,374,560,6,Middle East and Africa,32948208,Asia-Pacific,Lead,645,88.27,9709448
Iceland,9848643,90,Adjustable-rate mortgage,29,3.5,413,381,9,Middle East and Africa,31404401,Americas,Lead,104,65.34,10247577
San Marino,9197128,75,Fixed-rate mortgage,33,"",446,347,9,Americas,32640037,Americas,Funding,614,63.7,9944599
Norway,9311997,70,Adjustable-rate mortgage,31,1,330,801,6,Americas,25711076,Asia-Pacific,Application,896,68.13,10247100
Netherlands,9671732,90,Jumbo mortgage,35,3.5,540,832,1,Americas,23986770,Asia-Pacific,Application,765,63.32,10632404
SAR United States,9060940,77,Fixed-rate mortgage,15,1,350,529,3,Asia-Pacific,18278232,Europe,Underwriting,318,87.34,11646806
San Marino,9498752,71,Home Equity Line of Credit Construction loan,5,2.5,404,554,7,Middle East and Africa,13401897,Middle East and Africa,Application,918,80.82,10518798
Hong Kong,9086373,78,Adjustable-rate mortgage,13,0.5,372,651,10,Europe,23239890,Middle East and Africa,Lead,638,79.32,10634023
Qatar,9061222,72,Fixed-rate mortgage,10,2,507,493,4,Americas,12701772,Middle East and Africa,Funding,505,66.34,11588978
"",9974820,87,Adjustable-rate mortgage,33,2.5,427,583,9,Asia-Pacific,27512918,Asia-Pacific,Funding,492,76.25,10521513
Austria,9222698,88,Fixed-rate mortgage,7,2.5,624,630,7,Middle East and Africa,22654374,Middle East and Africa,Application,487,80.01,10640283
Ireland,9122755,74,Fixed-rate mortgage,25,0.5,408,666,10,Americas,10908198,Europe,Application,383,82.81,11051182
Norway,9543417,87,Adjustable-rate mortgage,13,3,266,378,6,Americas,25248164,Europe,Underwriting,261,68.43,9634542
Kuwait,9195374,81,Jumbo mortgage,18,3.5,302,330,4,Asia-Pacific,10415828,Americas,Application,693,81.84,11485370
"",9547878,81,Jumbo mortgage,8,1.5,463,577,7,Americas,15506993,Asia-Pacific,Funding,777,79.32,10983941
Norway,9653526,70,Fixed-rate mortgage,34,1,582,838,6,Middle East and Africa,23059451,Europe,Underwriting,442,68.89,11980164
Sweden,9724651,72,Fixed-rate mortgage,23,1.5,251,734,2,Europe,19987388,Asia-Pacific,Lead,847,80.14,10312777
Netherlands,9212719,80,Jumbo mortgage,15,2.5,555,456,1,Europe,26887633,Americas,Lead,283,64.19,10211761
Australia,9501470,76,Fixed-rate mortgage,16,4,373,762,7,Middle East and Africa,23777107,Asia-Pacific,Underwriting,414,88.91,10000924
Denmark,9661234,89,Jumbo mortgage,8,1.5,609,443,9,Europe,12174912,Asia-Pacific,Lead,711,69.53,9607261
Sweden,9636588,81,Fixed-rate mortgage,15,2.5,598,760,4,Americas,15126633,Americas,Funding,478,88.18,9560406
Ireland,9599341,84,Fixed-rate mortgage,35,1.5,270,639,3,Europe,26021398,Americas,Funding,287,89.25,9715007
Switzerland,9182500,80,Jumbo mortgage,13,3.5,616,838,5,Middle East and Africa,16823095,Middle East and Africa,Application,337,66.34,10771167
Qatar,9643892,86,Fixed-rate mortgage,28,3.5,636,612,1,Asia-Pacific,18707730,Americas,Lead,252,84.34,10621551
Germany,9868150,89,Jumbo mortgage,22,3.5,607,777,9,Americas,18041953,Americas,Funding,861,88.35,11911683
San Marino,9812584,86,Adjustable-rate mortgage,6,1,378,762,3,Asia-Pacific,24260046,Americas,Underwriting,673,71.3,10002297
Macao SAR,9145234,85,Adjustable-rate mortgage,6,0.5,598,650,4,Asia-Pacific,25350681,Americas,Underwriting,688,71.2,10035299
San Marino,9158278,70,Jumbo mortgage,32,2.5,323,849,6,Europe,22846527,Americas,Lead,624,63.53,10082471
Switzerland,9554629,84,Jumbo mortgage,32,4,364,637,8,Middle East and Africa,15344459,Europe,Application,461,80.59,10724400
Germany,9029459,83,Fixed-rate mortgage,5,3,369,615,4,Americas,15666973,Asia-Pacific,Funding,607,75.2,10150341
Netherlands,9068550,74,Fixed-rate mortgage,26,3,627,330,2,Middle East and Africa,19445430,Asia-Pacific,Application,580,65.45,9942312
Australia,9600866,89,Jumbo mortgage,25,3,467,578,2,Americas,10611854,Asia-Pacific,Lead,746,63.49,10885705
"",9369324,75,Adjustable-rate mortgage,8,2,276,743,7,Europe,21702829,Middle East and Africa,Lead,653,81.63,9801905
Hong Kong,9922966,88,Fixed-rate mortgage,28,2.5,346,848,10,Europe,29263876,Asia-Pacific,Underwriting,672,61.23,11443159
Austria,9415366,70,Adjustable-rate mortgage,21,3,260,713,1,Americas,31509852,Europe,Underwriting,562,62.76,11269720
United Arab Emirates,9643237,74,Fixed-rate mortgage,6,1.5,639,368,10,Europe,17213180,Europe,Funding,475,80.22,10987409
Brunei,9013754,74,Jumbo mortgage,22,3,358,321,4,Europe,18905387,Middle East and Africa,Lead,162,72.73,11923991
Denmark,9137216,85,Fixed-rate mortgage,31,1.5,526,632,8,Americas,33581026,Americas,Underwriting,621,66.48,10328706
Hong Kong,9985549,82,Home Equity Line of Credit Construction loan,10,3,463,792,3,Asia-Pacific,20330123,Middle East and Africa,Lead,398,84.4,10352181
Iceland,9031302,81,Jumbo mortgage,37,0.5,316,751,6,Middle East and Africa,31948800,Middle East and Africa,Application,609,75.56,10913646
Denmark,9898549,83,Adjustable-rate mortgage,25,1.5,349,781,8,Asia-Pacific,15041156,Asia-Pacific,Underwriting,272,67.82,11894830
Sweden,9404479,76,Home Equity Line of Credit Construction loan,37,3,588,322,6,Middle East and Africa,18506069,Americas,Funding,298,87.24,10305661
Qatar,9008629,76,Jumbo mortgage,35,2.5,631,495,9,Europe,19256210,Middle East and Africa,Lead,266,60.51,10157093
Qatar,9596868,90,Home Equity Line of Credit Construction loan,6,2.5,380,702,9,Middle East and Africa,25087869,Asia-Pacific,Funding,801,63.41,11830986
Luxembourg,9668694,79,Fixed-rate mortgage,25,2.5,369,628,7,Americas,25808617,Asia-Pacific,Application,389,66.32,11811141
Austria,9995170,84,Jumbo mortgage,22,"",408,406,4,Asia-Pacific,20079388,Asia-Pacific,Lead,614,68.13,11629964
Norway,9864332,87,Jumbo mortgage,37,2.5,425,645,10,Asia-Pacific,11184180,Americas,Funding,120,70.72,9714482
San Marino,9403694,87,Fixed-rate mortgage,18,3,595,652,2,Asia-Pacific,22903572,Asia-Pacific,Underwriting,467,86.61,9697803
Luxembourg,9523855,78,Fixed-rate mortgage,16,2.5,634,625,4,Americas,31417969,Americas,Lead,408,73.95,10909995
Iceland,9594899,83,Fixed-rate mortgage,15,2.5,306,487,6,Asia-Pacific,24960968,Asia-Pacific,Funding,973,65.88,10809883
Singapore,9171616,82,Fixed-rate mortgage,8,1,506,341,5,Middle East and Africa,29373951,Middle East and Africa,Funding,688,79.25,10554624
SAR United States,9957326,72,Fixed-rate mortgage,30,3,287,504,10,Asia-Pacific,19501199,Middle East and Africa,Application,788,73.12,10749518
Luxembourg,9585329,80,Adjustable-rate mortgage,33,"",490,731,9,Europe,28115926,Americas,Funding,208,62.12,11766110
Ireland,9391842,88,Fixed-rate mortgage,11,0.5,611,487,4,Middle East and Africa,29266903,Americas,Underwriting,728,61.85,10951801
Singapore,9262389,76,Jumbo mortgage,10,1.5,618,393,5,Asia-Pacific,19751304,Americas,Application,841,67.32,11536175
Qatar,9426124,82,Home Equity Line of Credit Construction loan,36,1.5,372,747,2,Europe,23846257,Europe,Lead,442,68.32,11237458
Darussalam,9667755,70,Adjustable-rate mortgage,6,3,570,504,1,Europe,21508822,Middle East and Africa,Funding,236,71.84,10257308
Qatar,9419309,74,Fixed-rate mortgage,37,"",328,303,10,Americas,29303578,Asia-Pacific,Lead,960,70.69,10924480
Brunei,9833388,75,Home Equity Line of Credit Construction loan,18,2.5,287,320,10,Middle East and Africa,15633897,Americas,Funding,568,75.66,10793376
Brunei,9182334,73,Jumbo mortgage,36,0.5,583,574,7,Middle East and Africa,18819669,Asia-Pacific,Underwriting,436,77.31,9721445
Sweden,9209713,75,Jumbo mortgage,38,"",570,452,2,Europe,11079700,Americas,Application,755,72.63,10199437
Luxembourg,9985519,80,Fixed-rate mortgage,6,1.5,507,724,8,Asia-Pacific,19248675,Asia-Pacific,Funding,469,89.98,11860234
San Marino,9109494,80,Jumbo mortgage,13,3.5,533,660,1,Asia-Pacific,30299072,Americas,Application,319,87.51,11607731
Macao SAR,9988962,81,Home Equity Line of Credit Construction loan,22,4,503,694,9,Asia-Pacific,22203048,Americas,Application,527,73.94,10102076
Switzerland,9142441,90,Fixed-rate mortgage,25,3,399,606,3,Americas,21069393,Americas,Underwriting,329,83.02,10042839
Australia,9151398,84,Adjustable-rate mortgage,10,4,596,465,3,Europe,28464815,Asia-Pacific,Application,157,64.56,11822346
Qatar,9525929,84,Adjustable-rate mortgage,5,2.5,375,486,10,Europe,32005548,Asia-Pacific,Application,937,70.08,9633882
Hong Kong,9900178,90,Fixed-rate mortgage,19,1,499,687,3,Americas,34183588,Europe,Application,252,76.76,10325815
Norway,9518564,74,Adjustable-rate mortgage,20,3,505,799,6,Europe,31347953,Americas,Underwriting,187,86.7,11606731
Switzerland,9679810,72,Jumbo mortgage,16,3.5,308,673,8,Asia-Pacific,31663459,Asia-Pacific,Funding,674,86.47,11879870
Norway,9569191,88,Jumbo mortgage,21,"",481,845,10,Middle East and Africa,31341344,Europe,Funding,896,74.18,10156905
Iceland,9657590,78,Home Equity Line of Credit Construction loan,20,1,646,819,2,Asia-Pacific,10924050,Middle East and Africa,Underwriting,273,65.7,11481546
"",9568178,71,Adjustable-rate mortgage,25,0.5,542,741,3,Asia-Pacific,11025652,Americas,Lead,769,86.77,11666515
Ireland,9879609,73,Home Equity Line of Credit Construction loan,7,2,314,791,10,Asia-Pacific,26475726,Middle East and Africa,Funding,615,63.02,10419201
Kuwait,9595500,81,Home Equity Line of Credit Construction loan,25,1.5,414,696,10,Americas,21839953,Americas,Underwriting,606,69.56,10553283
Australia,9634030,86,Adjustable-rate mortgage,5,0.5,279,818,4,Asia-Pacific,28221286,Asia-Pacific,Underwriting,865,82.21,10153648
Sweden,9676589,73,Fixed-rate mortgage,23,3,405,764,4,Asia-Pacific,25710868,Americas,Lead,884,81.43,11351528
"",9863915,87,Fixed-rate mortgage,12,"",438,567,3,Europe,13441594,Asia-Pacific,Underwriting,186,65.35,9534530
Ireland,9062835,75,Home Equity Line of Credit Construction loan,9,1.5,574,339,1,Asia-Pacific,26472798,Americas,Lead,628,82.75,11485091
Sweden,9393794,83,Adjustable-rate mortgage,33,1,257,744,3,Europe,26304075,Americas,Application,780,85.11,10134895
Germany,9291386,73,Home Equity Line of Credit Construction loan,6,"",464,732,8,Europe,18803826,Asia-Pacific,Lead,901,82.78,10264705
Switzerland,9820797,77,Jumbo mortgage,28,4,428,386,10,Americas,24086612,Asia-Pacific,Underwriting,997,80.59,11147474
Austria,9579048,88,Fixed-rate mortgage,22,2.5,472,660,10,Asia-Pacific,32245530,Europe,Lead,997,74.65,10154236
Hong Kong,9820569,86,Home Equity Line of Credit Construction loan,40,2,432,378,4,Middle East and Africa,17180760,Americas,Application,905,81.09,11027945
Australia,9382471,84,Fixed-rate mortgage,39,0.5,489,534,6,Europe,22386063,Americas,Underwriting,719,85.14,11364349
Australia,9347280,76,Jumbo mortgage,9,3.5,300,544,10,Europe,17268955,Middle East and Africa,Application,271,71.24,10241540
United Arab Emirates,9292636,88,Adjustable-rate mortgage,12,3.5,380,699,6,Europe,29427020,Europe,Funding,267,62.74,10493592
Netherlands,9319085,79,Adjustable-rate mortgage,31,1,262,564,5,Middle East and Africa,33401055,Middle East and Africa,Lead,124,83.54,11714579
Hong Kong,9090521,89,Home Equity Line of Credit Construction loan,29,4,450,679,3,Americas,19843233,Asia-Pacific,Lead,555,65.76,9893666
Qatar,9965660,77,Jumbo mortgage,33,"",253,635,1,Europe,17746842,Americas,Application,588,66.63,10767487
Netherlands,9588029,85,Fixed-rate mortgage,26,3,643,666,3,Asia-Pacific,13224988,Europe,Funding,595,77.28,10621788
Germany,9191408,75,Adjustable-rate mortgage,15,2.5,568,671,3,Asia-Pacific,21215379,Middle East and Africa,Lead,141,84.02,11213244
Brunei,9823055,73,Fixed-rate mortgage,21,3,290,835,1,Europe,31558106,Americas,Underwriting,708,61.86,10164241
Qatar,9954792,86,Adjustable-rate mortgage,29,1,431,505,3,Americas,16079125,Americas,Underwriting,179,72.74,9632043
Australia,9323622,73,Home Equity Line of Credit Construction loan,5,2.5,449,346,9,Americas,15514358,Asia-Pacific,Funding,282,76.86,11600920
Qatar,9132878,74,Jumbo mortgage,16,1,497,556,1,Europe,11380073,Americas,Application,651,69.07,9537412
Brunei,9832258,85,Jumbo mortgage,10,3.5,528,557,4,Middle East and Africa,31391825,Asia-Pacific,Lead,273,67.68,10606169
Denmark,9834234,88,Fixed-rate mortgage,12,2,541,811,2,Americas,10266678,Asia-Pacific,Application,289,69.19,10383615
Macao SAR,9599244,74,Fixed-rate mortgage,32,2.5,497,706,6,Middle East and Africa,29180786,Middle East and Africa,Funding,919,63.2,10656040
Singapore,9976987,78,Home Equity Line of Credit Construction loan,23,3,394,642,1,Asia-Pacific,25082077,Europe,Application,943,89.8,9677500
"",9145425,87,Home Equity Line of Credit Construction loan,36,3,450,605,5,Middle East and Africa,24157928,Americas,Underwriting,637,77.41,10206729
San Marino,9411913,89,Jumbo mortgage,33,1,562,621,6,Europe,31046156,Europe,Underwriting,618,88.91,9595593
Brunei,9007289,82,Adjustable-rate mortgage,7,1,284,529,4,Americas,28847435,Asia-Pacific,Application,144,71.74,11137612
Sweden,9436091,84,Fixed-rate mortgage,40,3.5,315,424,5,Middle East and Africa,34176996,Middle East and Africa,Lead,644,77.35,10365360
San Marino,9597496,87,Fixed-rate mortgage,11,4,424,787,4,Europe,27598396,Middle East and Africa,Lead,781,85.61,11247142
Macao SAR,9330278,79,Fixed-rate mortgage,6,0.5,307,807,4,Americas,13991298,Middle East and Africa,Application,415,60.5,10775980
Denmark,9478785,75,Adjustable-rate mortgage,28,0.5,437,729,6,Europe,19151692,Asia-Pacific,Lead,394,89.7,10544213
Ireland,9854665,72,Home Equity Line of Credit Construction loan,18,0.5,551,496,1,Europe,14731844,Asia-Pacific,Application,483,83.67,11568344
Netherlands,9044173,73,Adjustable-rate mortgage,7,"",334,546,9,Middle East and Africa,11248344,Asia-Pacific,Application,555,66.86,10107069
San Marino,9570764,81,Jumbo mortgage,40,4,598,766,7,Americas,12454611,Middle East and Africa,Lead,944,85.49,10944391
Brunei,9077805,87,Jumbo mortgage,20,1.5,464,666,1,Asia-Pacific,25784709,Asia-Pacific,Funding,558,78.06,10602440
Darussalam,9331752,82,Home Equity Line of Credit Construction loan,5,2,491,396,5,Middle East and Africa,17849919,Middle East and Africa,Funding,137,61.81,11597297
Kuwait,9701277,80,Fixed-rate mortgage,17,"",267,309,3,Middle East and Africa,28457180,Middle East and Africa,Lead,336,62.85,10935153
Singapore,9827344,79,Adjustable-rate mortgage,7,4,378,516,8,Americas,29137211,Europe,Application,967,73.04,10103202
"",9597534,73,Adjustable-rate mortgage,11,2.5,305,749,5,Asia-Pacific,33006411,Americas,Underwriting,310,81.49,9990530
Brunei,9113320,90,Home Equity Line of Credit Construction loan,15,3.5,581,494,5,Europe,27560366,Asia-Pacific,Underwriting,521,79.33,9617975
Brunei,9512842,89,Adjustable-rate mortgage,38,"",483,343,7,Americas,28887918,Europe,Lead,112,81.73,11571784
SAR United States,9206159,74,Jumbo mortgage,18,4,462,332,6,Middle East and Africa,19979271,Europe,Lead,628,65.59,11620555
